Order_ID,Order_Date,Customer_Location,Latitude,Longitude,Product_Category,Quantity,Unit_Price,Vendor_Name,Shipping_Mode,Shipping_Cost,Actual_Shipping_Days,Planned_Lead_Time,Delivery_Status,Risk_Score
CS-2024-0055,2024-05-16,Banjarmasin,-3.3194,114.5908,Consumer Goods,1,47561982,PT Samudera Logistik Nusantara,Truck,155000,4,4,On Time,0
CS-2024-0056,2024-04-12,Jakarta,-6.2088,106.8456,Automotive,35,23965179,CV Bahari Persada,Air,675000,1,1,Damaged/Returned,0
CS-2024-0057,2024-07-23,Jakarta,-6.2088,106.8456,Medical Supplies,36,19196734,CV Samudera Jaya,Air,680000,2,2,On Time,3
CS-2024-0058,2024-07-23,Surabaya,-7.2575,112.7521,Medical Supplies,27,2352240,PT Samudera Logistik Nusantara,Truck,285000,1,1,On Time,0
CS-2024-0059,2024-01-20,Bandung,-6.9175,107.6191,Industrial Parts,15,40535219,PT Jaya Nusantara Logistik,Truck,225000,3,3,On Time,1
CS-2024-0060,2024-11-06,Palembang,-2.9761,104.7754,Industrial Parts,85,26350027,CV Persada Cargo,Air,925000,11,6,Late,55
CS-2024-0061,2024-09-23,Palembang,-2.9761,104.7754,Consumer Goods,29,24942489,PT Jaya Nusantara Logistik,Air,645000,6,6,On Time,5
CS-2024-0062,2024-03-04,Surabaya,-7.2575,112.7521,Medical Supplies,4,34532415,CV Bahari Persada,Sea,120000,2,2,On Time,0
CS-2024-0063,2024-10-10,Surabaya,-7.2575,112.7521,Consumer Goods,31,13374170,PT Jaya Nusantara Logistik,Sea,255000,2,2,On Time,0
CS-2024-0064,2024-11-11,Bandung,-6.9175,107.6191,Medical Supplies,116,27751243,CV Persada Cargo,Air,1080000,5,2,Late,61
CS-2024-0065,2024-10-23,Jakarta,-6.2088,106.8456,Medical Supplies,37,31704829,PT Jaya Nusantara Logistik,Truck,335000,3,3,On Time,2
CS-2024-0066,2024-03-27,Jakarta,-6.2088,106.8456,Industrial Parts,122,19544583,CV Persada Cargo,Sea,710000,5,3,Late,58
CS-2024-0067,2024-12-10,Jakarta,-6.2088,106.8456,Medical Supplies,35,15575379,CV Samudera Jaya,Air,675000,3,1,Late,35
CS-2024-0068,2024-05-05,Jakarta,-6.2088,106.8456,Automotive,29,41521901,CV Samudera Jaya,Air,645000,2,2,On Time,5
CS-2024-0069,2024-10-21,Makassar,-5.1476,119.4327,Consumer Goods,18,48707378,PT Trans Khatulistiwa,Truck,240000,7,7,On Time,0
CS-2024-0070,2024-12-01,Jayapura,-2.533,140.7181,Industrial Parts,41,7652952,CV Samudera Jaya,Truck,355000,13,11,Late,58
CS-2024-0071,2024-08-25,Surabaya,-7.2575,112.7521,Industrial Parts,51,37906869,PT Khatulistiwa Trans Express,Air,755000,2,2,On Time,2
CS-2024-0072,2024-12-07,Bandung,-6.9175,107.6191,Medical Supplies,134,30200599,CV Persada Cargo,Sea,770000,10,3,Late,62
CS-2024-0073,2024-08-18,Jakarta,-6.2088,106.8456,Medical Supplies,22,17091977,CV Samudera Jaya,Sea,210000,2,2,On Time,3
CS-2024-0074,2024-09-05,Jakarta,-6.2088,106.8456,Consumer Goods,43,18927922,PT Jaya Nusantara Logistik,Air,715000,3,3,On Time,0
CS-2024-0075,2024-06-20,Jakarta,-6.2088,106.8456,Medical Supplies,55,36749002,PT Samudera Logistik Nusantara,Air,775000,1,1,On Time,0
CS-2024-0076,2024-12-27,Jakarta,-6.2088,106.8456,Consumer Goods,43,4810325,PT Jaya Nusantara Logistik,Truck,365000,6,2,Late,42
CS-2024-0077,2024-07-31,Bandung,-6.9175,107.6191,Industrial Parts,39,14380420,CV Samudera Jaya,Truck,345000,2,2,On Time,4
CS-2024-0078,2024-12-22,Jakarta,-6.2088,106.8456,Industrial Parts,11,39133925,PT Jaya Nusantara Logistik,Truck,205000,4,1,Late,39
CS-2024-0079,2024-07-18,Makassar,-5.1476,119.4327,Automotive,39,36619370,PT Trans Khatulistiwa,Sea,295000,5,5,On Time,0
CS-2024-0080,2024-08-11,Jakarta,-6.2088,106.8456,Automotive,27,2447822,PT Jaya Nusantara Logistik,Truck,285000,3,3,On Time,1
CS-2024-0081,2024-03-25,Surabaya,-7.2575,112.7521,Automotive,130,9064956,CV Persada Cargo,Sea,750000,3,1,Late,56
CS-2024-0082,2024-11-25,Makassar,-5.1476,119.4327,Automotive,38,9606638,CV Samudera Jaya,Truck,340000,5,5,On Time,1
CS-2024-0083,2024-06-16,Banjarmasin,-3.3194,114.5908,Consumer Goods,50,31014355,CV Bahari Persada,Truck,400000,7,7,On Time,1
CS-2024-0084,2024-05-09,Jakarta,-6.2088,106.8456,Industrial Parts,68,32061757,PT Samudera Logistik Nusantara,Sea,440000,3,3,On Time,0
CS-2024-0085,2024-04-24,Jakarta,-6.2088,106.8456,Industrial Parts,8,44238514,PT Samudera Logistik Nusantara,Air,540000,1,1,On Time,0
CS-2024-0086,2024-11-14,Surabaya,-7.2575,112.7521,Consumer Goods,47,16508480,PT Khatulistiwa Trans Express,Truck,385000,3,3,On Time,0
CS-2024-0087,2024-08-26,Jayapura,-2.533,140.7181,Medical Supplies,39,25256136,PT Khatulistiwa Trans Express,Sea,295000,14,14,On Time,11
CS-2024-0088,2024-03-24,Jakarta,-6.2088,106.8456,Medical Supplies,128,7754384,CV Persada Cargo,Air,1140000,7,2,Late,58
CS-2024-0089,2024-02-08,Jakarta,-6.2088,106.8456,Consumer Goods,33,7338480,PT Trans Khatulistiwa,Truck,315000,3,3,On Time,0
CS-2024-0090,2024-10-16,Jakarta,-6.2088,106.8456,Industrial Parts,127,23800450,CV Persada Cargo,Truck,785000,5,3,Late,63
CS-2024-0091,2024-11-27,Jakarta,-6.2088,106.8456,Medical Supplies,32,1349071,CV Samudera Jaya,Truck,310000,2,2,On Time,0
CS-2024-0092,2024-11-21,Makassar,-5.1476,119.4327,Automotive,11,47966679,PT Khatulistiwa Trans Express,Truck,205000,5,5,On Time,5
CS-2024-0093,2024-05-18,Makassar,-5.1476,119.4327,Automotive,41,31697150,PT Jaya Nusantara Logistik,Sea,305000,6,6,On Time,0
CS-2024-0094,2024-02-14,Jakarta,-6.2088,106.8456,Medical Supplies,15,30752810,PT Khatulistiwa Trans Express,Truck,225000,3,3,On Time,1
CS-2024-0095,2024-06-21,Surabaya,-7.2575,112.7521,Industrial Parts,41,33672347,CV Samudera Jaya,Truck,355000,1,1,On Time,0
CS-2024-0096,2024-05-12,Banjarmasin,-3.3194,114.5908,Medical Supplies,81,19267563,CV Persada Cargo,Sea,505000,9,6,Late,56
CS-2024-0097,2024-05-03,Makassar,-5.1476,119.4327,Automotive,142,33287904,CV Persada Cargo,Air,1210000,12,7,Late,55
CS-2024-0098,2024-02-17,Surabaya,-7.2575,112.7521,Medical Supplies,32,15371082,PT Jaya Nusantara Logistik,Sea,260000,1,1,On Time,4
CS-2024-0099,2024-07-07,Surabaya,-7.2575,112.7521,Automotive,150,37642941,CV Persada Cargo,Truck,900000,6,2,Late,60
CS-2024-0100,2024-12-25,Makassar,-5.1476,119.4327,Automotive,26,18680893,CV Bahari Persada,Truck,280000,7,5,Late,38
CS-2024-0101,2024-06-10,Banjarmasin,-3.3194,114.5908,Industrial Parts,71,36461221,CV Samudera Jaya,Sea,455000,5,5,On Time,2
CS-2024-0102,2024-05-21,Bandung,-6.9175,107.6191,Medical Supplies,31,7246192,CV Samudera Jaya,Air,655000,2,2,On Time,0
CS-2024-0103,2024-06-03,Jakarta,-6.2088,106.8456,Industrial Parts,85,48014316,CV Persada Cargo,Air,925000,4,2,Late,63
CS-2024-0104,2024-05-29,Jakarta,-6.2088,106.8456,Consumer Goods,44,43306707,CV Samudera Jaya,Truck,370000,1,1,On Time,4
CS-2024-0105,2024-05-25,Makassar,-5.1476,119.4327,Automotive,28,32625966,PT Jaya Nusantara Logistik,Truck,290000,5,5,On Time,0
CS-2024-0106,2024-09-01,Palembang,-2.9761,104.7754,Industrial Parts,41,4885123,PT Jaya Nusantara Logistik,Truck,355000,4,4,On Time,5
CS-2024-0107,2024-01-28,Palembang,-2.9761,104.7754,Consumer Goods,23,10512480,CV Samudera Jaya,Sea,215000,6,6,On Time,0
CS-2024-0108,2024-03-01,Surabaya,-7.2575,112.7521,Automotive,146,41189288,CV Persada Cargo,Sea,830000,6,1,Late,62
CS-2024-0109,2024-08-14,Denpasar,-8.6705,115.2126,Medical Supplies,16,39995253,PT Jaya Nusantara Logistik,Truck,230000,4,4,On Time,0
CS-2024-0110,2024-04-16,Medan,3.5952,98.6722,Consumer Goods,22,18260100,PT Trans Khatulistiwa,Air,610000,5,5,On Time,3
CS-2024-0111,2024-02-08,Palembang,-2.9761,104.7754,Consumer Goods,39,679564,PT Jaya Nusantara Logistik,Truck,345000,7,7,On Time,0
CS-2024-0112,2024-05-27,Jakarta,-6.2088,106.8456,Medical Supplies,56,47676696,CV Samudera Jaya,Truck,430000,1,1,On Time,0
CS-2024-0113,2024-11-16,Medan,3.5952,98.6722,Consumer Goods,45,29030593,PT Samudera Logistik Nusantara,Sea,325000,12,5,Late,89
CS-2024-0114,2024-03-13,Jayapura,-2.533,140.7181,Industrial Parts,30,4502241,PT Khatulistiwa Trans Express,Truck,300000,14,14,On Time,19
CS-2024-0115,2024-05-27,Makassar,-5.1476,119.4327,Automotive,15,8845232,PT Jaya Nusantara Logistik,Sea,175000,6,6,On Time,0
CS-2024-0116,2024-09-13,Surabaya,-7.2575,112.7521,Automotive,50,29877500,PT Samudera Logistik Nusantara,Sea,350000,12,1,Late,90
CS-2024-0117,2024-11-05,Banjarmasin,-3.3194,114.5908,Medical Supplies,34,2235763,PT Samudera Logistik Nusantara,Air,670000,13,4,Late,94
CS-2024-0118,2024-01-21,Denpasar,-8.6705,115.2126,Consumer Goods,115,32074775,CV Persada Cargo,Sea,675000,10,7,Late,64
CS-2024-0119,2024-08-11,Bandung,-6.9175,107.6191,Automotive,51,6623174,PT Jaya Nusantara Logistik,Truck,405000,2,2,On Time,5
CS-2024-0120,2024-02-23,Makassar,-5.1476,119.4327,Consumer Goods,30,22632749,PT Jaya Nusantara Logistik,Sea,250000,7,7,On Time,1
CS-2024-0121,2024-10-08,Makassar,-5.1476,119.4327,Industrial Parts,33,31022850,PT Samudera Logistik Nusantara,Truck,315000,16,6,Late,86
CS-2024-0122,2024-07-25,Surabaya,-7.2575,112.7521,Industrial Parts,32,44634841,CV Samudera Jaya,Sea,260000,2,2,On Time,0
CS-2024-0123,2024-09-22,Surabaya,-7.2575,112.7521,Medical Supplies,32,42284251,CV Samudera Jaya,Truck,310000,3,3,On Time,0
CS-2024-0124,2024-04-14,Jakarta,-6.2088,106.8456,Medical Supplies,17,37357506,PT Khatulistiwa Trans Express,Truck,235000,2,2,On Time,2
CS-2024-0125,2024-03-03,Bandung,-6.9175,107.6191,Industrial Parts,100,42780079,CV Persada Cargo,Air,1000000,7,3,Late,63
CS-2024-0126,2024-01-08,Medan,3.5952,98.6722,Automotive,35,6755163,PT Khatulistiwa Trans Express,Air,675000,7,7,On Time,5
CS-2024-0127,2024-03-19,Jakarta,-6.2088,106.8456,Automotive,16,48590435,CV Bahari Persada,Sea,180000,3,3,On Time,2
CS-2024-0128,2024-08-29,Bandung,-6.9175,107.6191,Consumer Goods,104,31154421,CV Persada Cargo,Air,1020000,5,2,Late,56
CS-2024-0129,2024-05-21,Jayapura,-2.533,140.7181,Automotive,38,23308641,CV Samudera Jaya,Sea,290000,12,12,On Time,14
CS-2024-0130,2024-06-01,Jakarta,-6.2088,106.8456,Automotive,10,10472069,PT Jaya Nusantara Logistik,Sea,150000,2,2,On Time,3
CS-2024-0131,2024-10-05,Jakarta,-6.2088,106.8456,Automotive,65,31057659,CV Bahari Persada,Air,825000,3,3,On Time,1
CS-2024-0132,2024-04-29,Makassar,-5.1476,119.4327,Automotive,57,3429120,CV Bahari Persada,Sea,385000,7,7,On Time,1
CS-2024-0133,2024-07-16,Jayapura,-2.533,140.7181,Consumer Goods,30,33740942,PT Samudera Logistik Nusantara,Air,650000,14,14,On Time,15
CS-2024-0134,2024-02-21,Surabaya,-7.2575,112.7521,Automotive,98,7191538,CV Persada Cargo,Truck,640000,6,1,Late,65
CS-2024-0135,2024-03-20,Banjarmasin,-3.3194,114.5908,Industrial Parts,23,32006980,CV Samudera Jaya,Truck,265000,6,6,On Time,1
CS-2024-0136,2024-11-28,Jakarta,-6.2088,106.8456,Industrial Parts,4,22549663,CV Samudera Jaya,Sea,120000,3,3,On Time,0
CS-2024-0137,2024-11-16,Jakarta,-6.2088,106.8456,Automotive,18,36806970,PT Samudera Logistik Nusantara,Sea,190000,9,1,Late,95
CS-2024-0138,2024-12-16,Jakarta,-6.2088,106.8456,Medical Supplies,54,15766345,PT Trans Khatulistiwa,Air,770000,4,2,Late,45
CS-2024-0139,2024-12-26,Jakarta,-6.2088,106.8456,Industrial Parts,34,30274763,PT Khatulistiwa Trans Express,Sea,270000,4,2,Late,35
CS-2024-0140,2024-06-15,Jayapura,-2.533,140.7181,Industrial Parts,5,20187578,CV Bahari Persada,Truck,175000,13,13,On Time,18
CS-2024-0141,2024-07-29,Makassar,-5.1476,119.4327,Consumer Goods,35,11907409,PT Khatulistiwa Trans Express,Air,675000,7,7,On Time,0
CS-2024-0142,2024-09-11,Medan,3.5952,98.6722,Consumer Goods,54,16081902,PT Jaya Nusantara Logistik,Sea,370000,6,6,On Time,5
CS-2024-0143,2024-01-05,Surabaya,-7.2575,112.7521,Automotive,19,19802634,PT Trans Khatulistiwa,Sea,195000,1,1,On Time,0
CS-2024-0144,2024-10-27,Jayapura,-2.533,140.7181,Medical Supplies,10,43378450,PT Jaya Nusantara Logistik,Sea,150000,12,12,On Time,14
CS-2024-0145,2024-04-11,Jakarta,-6.2088,106.8456,Automotive,26,32927544,PT Samudera Logistik Nusantara,Air,630000,2,2,On Time,4
CS-2024-0146,2024-05-31,Jakarta,-6.2088,106.8456,Medical Supplies,58,1972341,CV Samudera Jaya,Sea,390000,2,2,On Time,4
CS-2024-0147,2024-12-17,Bandung,-6.9175,107.6191,Industrial Parts,10,41195250,PT Trans Khatulistiwa,Truck,200000,4,2,Late,44
CS-2024-0148,2024-06-29,Surabaya,-7.2575,112.7521,Consumer Goods,28,43222702,PT Khatulistiwa Trans Express,Sea,240000,2,2,On Time,5
CS-2024-0149,2024-12-14,Surabaya,-7.2575,112.7521,Consumer Goods,53,42661016,PT Samudera Logistik Nusantara,Sea,365000,11,3,Late,92
CS-2024-0150,2024-01-18,Jakarta,-6.2088,106.8456,Medical Supplies,49,49647832,PT Khatulistiwa Trans Express,Air,745000,2,2,On Time,1
CS-2024-0151,2024-03-30,Surabaya,-7.2575,112.7521,Consumer Goods,30,9369093,CV Samudera Jaya,Sea,250000,2,2,On Time,0
CS-2024-0152,2024-03-25,Denpasar,-8.6705,115.2126,Medical Supplies,65,32836260,CV Samudera Jaya,Truck,475000,6,6,On Time,2
CS-2024-0153,2024-02-08,Makassar,-5.1476,119.4327,Consumer Goods,26,15640745,CV Samudera Jaya,Sea,230000,7,7,On Time,3
CS-2024-0154,2024-07-06,Medan,3.5952,98.6722,Industrial Parts,30,26979450,PT Samudera Logistik Nusantara,Truck,300000,4,4,On Time,5
CS-2024-0155,2024-12-10,Palembang,-2.9761,104.7754,Medical Supplies,1,39729163,PT Jaya Nusantara Logistik,Sea,105000,8,6,Late,45
CS-2024-0156,2024-04-29,Makassar,-5.1476,119.4327,Automotive,108,2179375,CV Persada Cargo,Sea,640000,8,6,Late,65
CS-2024-0157,2024-08-25,Bandung,-6.9175,107.6191,Medical Supplies,40,44069721,PT Jaya Nusantara Logistik,Air,700000,1,1,On Time,0
CS-2024-0158,2024-06-04,Surabaya,-7.2575,112.7521,Automotive,31,8292713,PT Samudera Logistik Nusantara,Air,655000,3,3,On Time,2
CS-2024-0159,2024-07-08,Palembang,-2.9761,104.7754,Automotive,22,39915743,PT Trans Khatulistiwa,Sea,210000,5,5,On Time,5
CS-2024-0160,2024-02-20,Surabaya,-7.2575,112.7521,Automotive,33,41815720,PT Jaya Nusantara Logistik,Truck,315000,1,1,On Time,0
CS-2024-0161,2024-08-15,Banjarmasin,-3.3194,114.5908,Automotive,20,16345250,CV Samudera Jaya,Truck,250000,4,4,On Time,0
CS-2024-0162,2024-10-05,Makassar,-5.1476,119.4327,Medical Supplies,24,4563447,PT Jaya Nusantara Logistik,Truck,270000,5,5,On Time,2
CS-2024-0163,2024-02-16,Medan,3.5952,98.6722,Consumer Goods,35,43564057,PT Trans Khatulistiwa,Sea,275000,4,4,On Time,0
CS-2024-0164,2024-05-04,Banjarmasin,-3.3194,114.5908,Consumer Goods,38,38388186,PT Khatulistiwa Trans Express,Air,690000,5,5,On Time,0
CS-2024-0165,2024-06-17,Surabaya,-7.2575,112.7521,Consumer Goods,38,40495650,PT Samudera Logistik Nusantara,Truck,340000,1,1,On Time,3
CS-2024-0166,2024-05-08,Banjarmasin,-3.3194,114.5908,Consumer Goods,19,7877032,PT Trans Khatulistiwa,Air,595000,5,5,Damaged/Returned,0
CS-2024-0167,2024-10-28,Morotai,2.3271,128.49,Medical Supplies,3,1559050,CV Bahari Persada,Air,515000,12,12,On Time,16
CS-2024-0168,2024-09-26,Jayapura,-2.533,140.7181,Industrial Parts,11,4765307,PT Jaya Nusantara Logistik,Truck,205000,12,12,On Time,11
CS-2024-0169,2024-08-19,Surabaya,-7.2575,112.7521,Consumer Goods,53,41779121,PT Samudera Logistik Nusantara,Sea,365000,3,3,On Time,2
CS-2024-0170,2024-11-25,Jayapura,-2.533,140.7181,Industrial Parts,23,4581923,PT Jaya Nusantara Logistik,Truck,265000,13,13,On Time,17
CS-2024-0171,2024-12-30,Jakarta,-6.2088,106.8456,Automotive,30,5431878,PT Samudera Logistik Nusantara,Truck,300000,12,3,Late,87
CS-2024-0172,2024-05-20,Banjarmasin,-3.3194,114.5908,Medical Supplies,138,26062061,CV Persada Cargo,Sea,790000,11,6,Late,56
CS-2024-0173,2024-12-25,Surabaya,-7.2575,112.7521,Industrial Parts,26,44437042,PT Trans Khatulistiwa,Sea,230000,5,3,Late,41
CS-2024-0174,2024-08-19,Jakarta,-6.2088,106.8456,Consumer Goods,42,28270558,CV Bahari Persada,Truck,360000,2,2,On Time,0
CS-2024-0175,2024-06-09,Denpasar,-8.6705,115.2126,Automotive,25,21473101,PT Trans Khatulistiwa,Truck,275000,6,6,On Time,5
CS-2024-0176,2024-08-30,Palembang,-2.9761,104.7754,Industrial Parts,20,6621991,CV Samudera Jaya,Air,600000,4,4,On Time,0
CS-2024-0177,2024-03-07,Palembang,-2.9761,104.7754,Industrial Parts,95,39857005,CV Persada Cargo,Sea,575000,11,6,Late,60
CS-2024-0178,2024-12-06,Surabaya,-7.2575,112.7521,Automotive,45,48889563,PT Samudera Logistik Nusantara,Truck,375000,15,3,Late,86
CS-2024-0179,2024-10-22,Surabaya,-7.2575,112.7521,Consumer Goods,48,10883766,PT Trans Khatulistiwa,Truck,390000,1,1,On Time,0
CS-2024-0180,2024-10-11,Jayapura,-2.533,140.7181,Medical Supplies,12,8209822,CV Samudera Jaya,Truck,210000,14,14,On Time,16
CS-2024-0181,2024-10-14,Banjarmasin,-3.3194,114.5908,Industrial Parts,19,41368956,PT Trans Khatulistiwa,Sea,195000,6,6,Damaged/Returned,0
